Date,AAPL,ABT,ACN,AEP,AMGN,APTV,ASML,ATO,AZO,BA,BKNG,BWA,CAT,CLX,CMI,COP,COST,CSCO,CSX,CVS,CVX,D,DIS,DPZ,DUK,EBAY,EOG,EW,GD,GILD,GM,HCA,HES,HII,HON,INTC,IPG,JNJ,LLY,MMM,MSFT,NFLX,NVDA,NVO,PEP,PFE,T,UNH,VZ,XOM
2012-10-02,0.002907543186285516,-0.007847954732275803,0.004279632473050406,0.005903558654949289,0.014816601794033529,0.007638459068856715,0.010434170400178371,0.0005658068249351194,0.002273394915108852,-0.006879755824642356,-0.013826147950076159,0.007422256029989886,0.0,0.0015209111281167737,-0.006084934149184824,-0.0006968643706640078,-0.0102002164385529,-0.0015882305335723765,-0.00530007969611912,-0.003705360312268614,0.0060370066926023775,0.007921436308387602,-0.008292413032697146,-0.013161578130408575,0.005885145363280593,0.0035184188238233877,0.008285177308955298,0.002409624258076833,-0.001781666784210527,0.02547377810153167,0.02523107335910632,-0.014624794879234033,-0.008376043819613072,0.016283382759029956,0.010634071917558354,0.003508702877156489,0.009869634052629661,-0.0024623921114934736,0.00774801388804411,0.002676672187899418,0.005748022065687881,0.007288202891721844,0.0038036151892001575,0.014638133497449067,-0.0004245209277970163,0.0031892237477788425,0.0015883020775882327,0.006003871509369128,0.0010903218714261066,-0.0008719309340362363
2012-10-03,0.015216720210690402,0.01864650265647412,0.0032682746977746456,0.006094512935154434,0.0051984335606730415,0.00063397813048253,0.018365976483235433,0.0028266428208677686,0.006010424215608924,0.004734694965116316,0.010556110990065192,-0.010378601021224475,-0.002225472253364743,0.008390966156983993,-0.012171848484908876,-0.010513673334153277,0.0013061902794680653,0.0031742200659480614,0.022923869734188147,0.007601488220163757,-0.015549278262332556,0.0018769671459386871,0.01594521945469803,0.0013241262024229767,0.00030892254366725205,0.003918183539708033,-0.035898394455818425,0.01232766498447302,-0.0049531308281177576,0.011783557261141208,0.02954226105943571,-0.011490913147914488,-0.016205186322695162,-0.03211123947212096,-0.008005659844889455,-0.01277833002232246,0.009773588831558747,0.0005800665959278028,0.007688341317265539,0.0025624652067589198,0.0067204776816785945,0.10291331847620527,-0.009919796523622714,6.201446053306911e-05,0.0011319960598278889,0.007930692631945015,0.009475894455077086,0.0010557100752361314,0.009116538648549452,-0.00021811768263335128
2012-10-04,-0.006949269871586753,0.013512587618850727,0.012829315066690447,0.0004501751779325586,-0.004734623730846433,0.020075942263473413,0.012658255272073444,0.013735270457300667,0.012417858827910236,0.001144522084874549,0.019430390192433818,0.030955091456072375,0.007941387250799764,0.00723408462684974,0.01500162135998374,0.01103643814300122,0.018498669671627662,-0.0015857810953811276,0.0051801126462124505,0.0004095602960906251,0.008658955910024161,0.0009369478130418426,0.003044604903610314,0.0007935005106747484,0.00937221576066982,0.018352948478741967,0.0030563369716073976,0.0034685367691663434,0.0054023585201502106,-0.004725849741274873,0.010603701072639542,-0.02151925747768722,0.02513730799884142,0.0196270594928189,0.005072576807062052,-0.003554257343150171,0.007048265301846211,0.0039050385900045786,0.009271642366262827,0.006906839452051849,0.005676999592198741,0.06330944368817291,0.04351748241079366,0.01595492349069177,0.002401663866389808,0.0011836606308069093,0.004443982092420687,0.019333451127292917,0.0209546094488335,0.0056548220673509775
2012-10-05,-0.021541125561489086,0.011658712682305504,-0.009146651304744714,-0.005413007804084756,0.006345791118580591,0.009273721251917636,0.00823212590172255,0.004444437243793083,0.011872237111343742,0.013491956915450437,-0.004972602887007086,0.007354425534922242,-0.006184500088948863,0.0028522034714471033,0.0010859766369131184,0.0031308628766697415,0.003049982725732794,-0.0021187119078821177,0.0060875629187690785,-0.00040956029609070225,0.002983274723938198,-0.002250584869737993,0.006439331278723623,-0.001058477114835873,-0.00628969325603431,-0.01547616442114974,-0.013644799510481974,-0.011915841988867637,0.00700912808595929,-0.0034503586830300515,0.006066736830672605,-0.006860120590772876,-0.007810928266538384,0.008261447173305746,0.002607627418327467,0.009302595327658538,0.007000098912214323,0.00547106406978997,-0.01092891044489436,0.0055972244905516605,-0.00601201563115121,-0.001651418142867092,-0.02377516967807764,0.01075892650253473,0.0032401903454038227,0.006684401213902237,0.0027129767585360146,-0.01459606815418366,0.006503370574871415,0.003571946456164009
2012-10-08,-0.022344186309236045,-0.004058116388373903,0.004231808656404953,0.003161168555358229,-0.010405766726432791,-0.007102142745011357,-0.019799029748196462,0.003320585609582243,0.0003409025195060851,-0.004524436470052386,-0.0014728476334172752,-0.015175609409712392,0.00011769089754161501,0.00823797873831651,0.0003260218013494769,0.0006942294978006776,-0.004332019849705003,0.0021187119078822187,0.008831010975135695,-0.004718355607976965,0.0010206633519639213,-0.004327757720520109,-0.012155672160930102,0.0005290983761466442,0.003840203840366055,-0.016761779987027374,-0.0008191266210293842,-0.009635993293190127,-0.012561993683722406,0.005457802020804088,-0.00931736135066166,-0.020228319917558593,0.0013056870527966872,-0.011347372501642,-0.00244474536606896,-0.007523537045711734,-0.0034939242955154383,-0.0030197511036411133,0.05152088303224262,0.004308274582528426,-0.0023477890959220896,0.09945376742476435,-0.00982251620909321,-0.009659264496827035,0.0012650859615241134,-0.004713473623476049,-0.005297118356562204,0.008193181807340667,-0.010254192889955343,0.0014037197491418869
2012-10-09,-0.003642000446249947,-0.005906720222142634,-0.00904977956172651,0.0015767508809845533,-0.007114625897871077,-0.012159013842942521,-0.012806761209345143,-0.008601089908816365,-0.004019389690653069,0.0009916109598075873,-0.02093203211925404,-0.0442205236273038,-0.00810896384812902,-0.005259383459169624,-0.01420940548498573,0.003119492675853233,-0.01701599350008704,-0.005305360080801455,-0.018683618562865503,-0.012623016870278378,-0.00221280543332183,-0.003967593922773918,-0.015793989468209407,0.00738035785441746,0.0009189883349229365,-0.03612044727310356,0.011137639705271853,-0.2387189925225762,-0.007704447483203177,-0.014864041592032197,-0.008173398611477157,-0.019017413874309046,0.0018633223699755289,-0.01292192093115928,-0.00983935507220448,-0.027473202371562873,0.0034939242955154904,-0.014944096207812129,0.02008094603762082,-0.015107927480256904,-0.016932475123792864,-0.11504936253108224,-0.021489499280611675,-0.01494556272743474,-0.0011244176139810315,-0.003549453314703553,-0.01390383064868473,-0.0022593571486013526,-0.009926702005738327,-0.005952244211444701
2012-10-10,0.0079260052812765,-0.007503140217514258,-0.0005751125291360262,-0.00790867096424815,-0.009172558883698055,-0.012308756156619291,-0.01633578254221489,0.0011144847616530657,-0.006708620784750113,-0.004256218100560285,-0.025372239761194695,-0.038754256759994644,-0.018939257503504336,0.00027067351726065377,-0.03415201890219231,-0.009736207072475191,0.019085645858663233,-0.026409182048657436,-0.0056733847124297064,0.0008328696123454894,-0.04273797440035184,0.007544282782401523,-0.00584108014997454,-0.020427669045644477,-0.007841714679924545,0.011615826494618169,-0.01405587381322827,0.037241111344482575,-0.011899419614057797,-0.016861157179527336,-0.0057610714970527796,-0.01079669775363799,-0.021065369272637472,0.0036061617507985168,-0.007277344615817694,-0.006412809794242526,-0.01670453135928902,-0.0027810033223705922,-0.030970674843344415,-0.007050626177738779,-0.010298707564344605,-0.00045792086187460067,-0.017215122545540723,-0.002730209362421033,-0.011598457094603307,-0.005944439887671684,-0.005941166691082353,-0.006284045979356071,-0.007182541237206526,-0.012011258133405677
2012-10-11,-0.020189528941200578,-0.006318305884049392,-0.0018707905608116515,0.0036229144022837563,-0.0004726359550749102,0.017002674727005295,-0.007326195796659681,0.0005563941985763784,-0.007981949924561032,0.00694203921429304,-0.007113367280804026,0.0007483841935579862,-0.0037345788003217348,-0.002707139787003216,-0.014919339616909975,0.0008836302506195992,-0.03242204859012985,-0.002734605981870294,0.003313337489277763,-0.00961749395987911,0.0054102410928760095,-0.0035766888596276856,-0.017134934633683707,0.011459063216818622,-0.004642227260675421,0.015490853835471104,0.0030092620722689018,-0.018737313546714304,0.006577269369986059,0.003542174596916603,0.017590831875583926,0.019221730638939782,0.013592595004701896,0.023714711588606007,0.0008295438141689706,-0.0036835921824813745,0.002656167145228355,-0.0036714357653176324,0.007339013183628258,-0.004835783957658948,-0.0010356072198575335,0.007301385711704881,0.005509748657917489,-0.006920830512998937,-0.006708984370055012,-0.0015913876508030045,-0.018038116901274298,0.009584458158687924,-0.012750222287657318,0.0015365934460997046
2012-10-12,0.0025598622492153987,-0.0020187582002295043,0.0,-0.002716112153741639,-0.007236021788373047,0.0015599371731431812,-0.0009430190269987416,-0.007538585373067393,-0.003478778785712546,0.014298198477624747,-0.008377505485522949,-0.004346836833620709,-0.0003623633841371755,0.00040631775683310016,0.011495835286194777,-0.00815620939459647,-0.007862265054886785,0.008181485469356795,0.007063900546459677,-0.010984856320945835,-0.00879488654394481,-0.0066220134797367975,0.004954002203615034,-0.0010604973626375776,-0.0049750400385455895,0.0075519443599867935,-0.009606352886118035,0.010618840570348922,0.007745547913921781,0.00103080854538875,-0.008961013250669721,-0.002261293004572179,-0.0009381307125297077,-0.03311785339005608,-0.0014940544842249094,-0.009267897442658104,-0.0044302009308787695,0.0,-0.0029686072725387115,-0.000861976459752411,0.008598453535998514,-0.025325546829795827,-0.008671660299826776,0.006050578479780999,0.003288690758749913,0.0,-0.017527167027207368,-0.010285111897891362,-0.01291461867800971,-0.0015365934460995986
2012-10-15,0.007987725934389962,0.03920392853695369,0.010745752234671843,0.008800571816730952,0.02608549049934723,0.01239181832476545,-0.0034027914268849766,-0.0005612370647936663,0.004466657471709215,0.0055512232446468844,0.0131808850814403,0.004196915958610601,-0.00012061100611055911,0.00702075348785954,0.017785775608843205,0.010977720361722308,-0.010718668004419295,0.007575605663429698,0.006548218460234294,-0.00021207431072799377,0.00667015928066523,0.0015176113131148156,0.0039455733894141086,0.01422207549304616,0.006215241900703468,-0.009448875449444479,0.014987112235257657,0.0021789653500028433,0.000907480528181671,-0.009167635108243399,0.0016348716589134156,0.028063181938377844,-0.006401713351310915,-0.013904424918558223,0.010739736252410266,0.011571391761502561,0.016733012315254207,0.009225878234877301,0.04040164351217728,0.0004313614410249409,0.010560261481008333,0.0066620925809765365,0.012588830746744089,0.024814015669714112,0.0041314641462045516,0.017755991839885896,-0.011857857686829194,0.007332415646029143,-0.0026931398379347695,0.005258648928544438
