Year,AAPL,ABT,ACN,AEP,AMGN,APTV,ASML,ATO,AZO,BA,BKNG,BWA,CAT,CLX,CMI,COP,COST,CSCO,CSX,CVS,CVX,D,DIS,DPZ,DUK,EBAY,EOG,EW,GD,GILD,GM,HCA,HES,HII,HON,INTC,IPG,JNJ,LLY,MMM,MSFT,NFLX,NVDA,NVO,PEP,PFE,T,UNH,VZ,XOM
2014,41.98,23.87,26.73,20.46,32.07,31.57,31.17,21.85,22.57,26.73,32.98,32.92,26.07,19.05,32.37,21.44,19.0,29.49,27.11,19.53,22.39,19.05,25.16,28.45,16.95,33.8,33.61,53.49,23.66,35.3,33.87,32.74,28.86,28.8,19.85,29.34,26.25,17.48,24.86,20.88,30.41,58.32,30.34,36.27,16.99,22.51,22.06,27.42,21.43,20.46
2015,33.93,25.41,24.75,23.95,35.96,36.13,36.0,23.9,22.03,28.31,36.78,37.88,34.03,18.88,31.33,35.11,19.14,28.42,34.27,20.49,31.76,23.54,28.46,29.42,24.06,31.67,43.8,36.2,23.42,47.21,36.82,32.74,43.51,35.44,23.19,30.25,30.19,21.97,27.54,24.45,32.53,61.53,36.42,30.62,18.59,24.02,21.77,29.22,21.54,28.26
2016,35.99,35.4,29.55,28.01,35.37,48.43,39.42,25.87,24.5,36.81,45.17,55.33,39.59,22.35,40.87,54.36,24.36,30.48,38.66,25.91,36.83,26.4,31.82,32.26,28.61,39.09,50.61,34.64,25.53,49.65,37.1,39.26,62.21,33.37,24.69,35.24,34.39,21.51,33.81,25.12,37.1,69.24,42.55,41.54,19.85,24.01,20.32,29.58,21.81,30.8
2017,31.21,32.83,29.24,25.09,32.53,45.47,33.81,24.07,35.23,32.24,41.19,53.68,33.32,23.04,38.07,51.4,27.36,30.18,36.25,34.69,29.37,24.01,26.27,37.18,24.79,40.29,41.09,42.12,23.03,37.29,34.07,39.53,55.62,27.36,20.77,30.68,37.73,17.51,34.56,20.41,27.06,56.42,51.63,43.93,17.58,21.17,19.83,23.82,20.74,24.14
2018,26.46,26.22,27.03,20.75,31.89,35.61,38.17,21.32,40.64,28.72,34.44,38.03,33.81,28.82,31.2,32.12,26.9,29.77,31.31,43.56,26.63,23.61,23.08,37.23,20.39,37.94,31.53,43.53,25.15,33.16,34.23,30.57,43.08,37.73,22.52,34.88,35.94,23.57,29.5,27.98,26.38,46.2,55.56,35.01,20.64,21.22,29.7,24.08,25.42,23.05
2019,41.77,31.77,32.68,21.71,33.13,43.43,47.79,23.98,34.73,42.3,41.08,44.45,45.81,36.77,37.32,40.11,31.65,38.29,38.0,44.38,33.4,24.94,29.25,40.76,21.24,41.22,47.18,43.25,32.21,36.75,38.68,38.16,53.41,46.0,27.55,44.61,34.04,31.35,33.13,39.04,36.27,59.05,75.25,33.55,23.95,31.04,37.67,34.66,28.41,29.26
2020,60.9,46.3,50.14,47.6,42.21,87.71,65.0,48.49,51.81,99.53,61.92,64.9,59.99,39.65,50.67,81.23,36.87,56.91,57.49,49.52,66.66,53.31,53.81,48.78,47.72,48.74,84.48,54.31,50.77,45.23,70.32,74.43,93.11,60.69,53.39,65.51,67.9,43.12,44.44,53.26,52.41,61.8,88.53,40.08,41.89,43.23,49.0,56.44,30.94,59.86
2021,54.02,47.07,48.42,47.37,44.84,87.2,63.3,50.36,51.79,99.39,62.67,64.7,54.77,42.32,46.82,84.29,31.84,51.49,53.06,45.38,67.41,52.7,53.54,44.88,46.93,52.38,90.01,51.0,47.62,41.91,71.89,68.72,87.98,55.13,53.26,67.53,67.8,37.84,45.88,47.31,50.0,56.76,69.52,39.13,41.04,42.07,45.07,53.08,27.77,61.04
2022,41.92,34.18,38.06,28.34,32.4,62.87,56.54,32.21,39.02,58.78,56.81,52.21,43.82,48.98,35.29,57.21,36.44,34.46,36.53,32.55,41.07,27.87,40.48,42.19,26.9,53.05,62.7,47.27,29.3,25.9,55.25,48.53,56.25,33.01,32.26,56.42,44.44,22.71,35.15,34.33,39.04,83.3,71.71,42.69,25.46,34.26,33.55,28.13,28.87,43.96
