Year,AAPL,ABT,ACN,AEP,AMGN,APTV,ASML,ATO,AZO,BA,BKNG,BWA,CAT,CLX,CMI,COP,COST,CSCO,CSX,CVS,CVX,D,DIS,DPZ,DUK,EBAY,EOG,EW,GD,GILD,GM,HCA,HES,HII,HON,INTC,IPG,JNJ,LLY,MMM,MSFT,NFLX,NVDA,NVO,PEP,PFE,T,UNH,VZ,XOM
2014,3.91,3.72,5.48,0.72,3.58,2.48,5.97,1.2,-0.26,2.05,5.86,4.22,2.57,2.04,5.94,2.78,2.64,5.26,2.24,3.8,4.73,0.66,4.53,-2.74,0.83,4.11,3.82,9.91,54.71,7.23,1.21,0.43,3.75,1.95,4.16,4.89,0.91,6.11,2.55,6.4,5.24,2.27,8.55,6.88,3.2,3.9,0.95,2.09,-4.39,5.49
2015,3.64,3.94,5.42,0.84,4.05,1.93,6.26,0.91,0.04,2.72,4.84,3.33,2.3,2.67,5.68,1.21,1.89,5.34,2.3,3.04,3.94,0.51,4.47,-3.66,0.62,5.12,0.62,7.79,83.43,6.42,0.96,0.59,2.41,2.15,3.31,5.27,0.82,5.98,3.11,5.77,4.58,1.9,7.51,6.95,3.19,2.8,0.93,1.41,-4.06,5.1
2016,3.53,4.5,4.44,0.49,4.35,1.94,5.37,0.55,0.25,2.31,4.63,2.65,1.85,2.58,5.27,1.3,1.92,5.28,2.1,2.95,3.36,0.47,4.41,-5.26,0.54,5.27,1.86,7.72,81.58,4.89,0.6,0.69,1.69,2.21,3.77,4.35,0.73,6.0,2.78,6.06,4.09,1.19,9.3,6.53,3.18,2.34,0.91,1.33,-3.61,4.97
2017,3.07,2.65,3.61,0.74,4.38,2.68,5.77,1.1,0.48,2.49,5.24,3.48,2.44,2.59,4.62,2.21,1.61,5.09,2.57,2.8,3.94,0.44,3.99,-6.85,0.54,3.96,2.69,4.7,84.16,4.5,0.48,0.71,1.15,2.44,3.43,4.26,0.91,3.76,1.97,5.69,3.73,1.47,11.26,6.6,3.46,3.08,1.11,1.7,-2.26,5.16
2018,2.63,2.54,4.16,0.61,2.67,2.19,6.15,0.75,0.25,2.15,6.09,3.99,2.96,3.17,4.77,3.7,1.81,3.61,2.47,1.21,4.65,0.75,4.78,-7.21,0.42,4.39,3.79,5.77,77.51,4.93,0.46,0.82,2.32,1.94,3.7,4.59,0.88,4.04,2.61,5.85,4.4,1.76,12.09,5.61,2.9,3.54,1.11,1.75,-1.81,5.58
2019,3.23,2.59,4.33,0.42,0.65,2.14,5.71,1.25,0.39,0.91,7.15,4.66,3.33,2.92,4.75,4.45,1.91,2.4,2.34,1.28,4.18,0.53,1.96,-4.87,0.47,4.5,3.62,6.98,74.65,4.39,0.4,1.01,1.45,1.6,3.96,4.25,0.61,3.72,1.17,4.2,4.31,1.04,10.99,5.15,2.78,2.84,0.98,1.59,-1.74,4.96
2020,2.58,2.94,3.99,0.52,0.88,3.62,5.65,1.54,0.8,1.19,6.56,3.24,3.18,3.63,4.86,2.88,2.24,2.84,2.5,1.3,3.29,0.31,1.53,-3.54,0.22,6.49,2.97,6.63,68.03,1.67,0.77,1.3,-0.17,1.96,3.78,4.43,0.58,3.4,1.98,4.8,4.66,1.92,7.43,4.49,2.49,3.25,0.57,1.71,-1.07,3.77
2021,2.55,3.67,3.65,0.66,0.28,3.53,4.28,1.24,0.56,1.45,6.05,3.41,3.49,1.05,4.93,3.57,1.79,2.51,2.51,1.36,4.46,0.67,1.59,-5.39,0.41,6.28,4.63,7.57,73.71,2.38,1.34,1.73,1.38,1.9,3.8,4.72,1.12,4.1,1.85,5.12,4.67,2.32,7.94,3.35,2.39,4.05,0.77,1.85,-1.42,5.39
2022,1.97,3.83,3.93,0.6,0.03,2.53,3.33,1.39,-0.03,1.05,6.57,3.5,3.59,1.01,3.49,5.17,2.09,2.48,2.31,1.31,5.79,0.4,1.8,-5.86,0.41,6.81,5.42,8.41,52.62,2.29,1.41,1.34,2.39,1.96,3.79,3.55,1.29,3.5,1.74,5.04,4.48,2.83,5.33,3.25,2.5,4.42,-0.22,1.73,-1.21,6.86
