Year,AAPL,ABT,ACN,AEP,AMGN,APTV,ASML,ATO,AZO,BA,BKNG,BWA,CAT,CLX,CMI,COP,COST,CSCO,CSX,CVS,CVX,D,DIS,DPZ,DUK,EBAY,EOG,EW,GD,GILD,GM,HCA,HES,HII,HON,INTC,IPG,JNJ,LLY,MMM,MSFT,NFLX,NVDA,NVO,PEP,PFE,T,UNH,VZ,XOM
2014,25.23,16.97,15.37,14.79,21.41,24.05,22.71,16.56,15.35,19.71,22.64,21.78,17.62,13.06,20.22,15.21,14.63,16.57,17.83,14.58,14.89,14.53,17.14,18.28,12.7,25.59,25.71,24.93,16.15,24.64,23.81,24.9,21.48,18.25,14.72,18.54,19.24,11.59,15.91,13.06,17.92,38.65,22.69,18.13,11.91,14.43,13.83,17.24,15.2,14.44
2015,22.27,17.64,17.01,16.71,27.09,25.72,25.48,16.96,14.48,20.56,25.99,28.04,20.35,13.52,22.43,25.69,13.47,17.87,25.57,14.55,20.44,16.36,17.44,21.61,16.69,23.45,29.43,24.64,17.45,28.81,26.41,26.85,25.79,23.6,18.12,19.21,20.47,16.86,16.7,17.41,20.07,37.31,25.44,21.49,13.41,18.19,14.05,21.43,15.19,19.46
2016,25.85,20.74,19.93,18.91,28.2,29.2,28.76,18.16,15.88,22.81,26.22,33.35,26.86,15.22,25.23,38.51,16.43,20.26,31.14,17.58,27.38,18.51,19.86,23.01,20.1,24.73,36.3,25.78,19.83,28.63,28.54,27.33,42.59,21.95,18.48,22.93,21.13,15.99,23.7,17.44,21.62,37.18,27.41,24.51,14.29,18.77,14.48,20.74,15.18,21.88
2017,22.71,19.08,17.44,16.23,21.08,28.49,23.41,15.13,19.29,17.24,21.47,33.35,23.3,15.72,22.73,35.23,16.78,17.92,24.62,21.19,20.24,15.44,16.35,21.13,16.81,22.83,30.92,24.92,15.34,20.73,24.89,25.37,39.81,16.74,12.78,19.76,21.13,11.66,20.82,12.47,17.68,34.86,33.94,20.61,11.52,17.0,14.4,15.66,14.53,18.11
2018,18.0,17.16,15.1,14.98,18.68,25.0,27.78,14.52,19.3,19.04,17.97,24.75,23.34,18.21,20.94,22.08,14.46,15.2,19.58,29.01,17.35,13.93,15.93,23.56,14.0,22.83,22.66,20.55,16.23,19.66,24.83,20.03,34.79,19.94,13.03,23.82,24.2,14.65,17.24,14.31,17.1,29.42,37.4,20.24,14.04,12.59,17.65,14.29,16.28,15.45
2019,26.21,22.95,19.26,15.42,25.88,31.86,34.6,14.14,18.81,29.29,25.2,32.24,31.1,21.75,24.64,30.73,20.86,27.84,22.98,30.84,22.65,17.19,18.74,27.3,14.86,25.99,38.09,25.99,23.04,25.48,29.7,24.99,37.56,27.51,17.97,29.86,25.36,16.85,22.11,23.69,29.25,43.75,46.58,21.65,17.31,19.88,20.1,26.12,19.45,20.59
2020,36.26,30.21,33.68,25.46,29.61,46.24,43.96,24.22,24.35,51.94,34.47,44.08,38.25,23.16,32.27,45.45,22.03,35.26,29.55,30.06,32.79,23.47,31.37,30.74,24.14,33.24,48.07,38.16,31.73,32.75,43.48,45.91,54.56,41.44,35.68,38.22,40.07,21.47,27.77,31.69,32.38,42.76,54.12,23.64,21.93,26.73,31.12,31.9,20.81,35.15
2021,33.61,27.59,30.5,26.89,25.8,40.23,39.81,25.17,25.61,51.88,36.51,39.95,33.74,20.98,30.37,46.5,20.16,27.77,28.54,26.01,36.46,23.49,33.52,25.07,24.11,35.91,51.88,32.14,26.67,26.64,42.09,41.75,51.07,35.04,33.09,35.64,36.52,20.34,23.97,26.26,28.84,37.86,41.96,23.75,20.7,22.74,25.79,28.48,16.79,39.05
2022,32.78,24.41,28.26,19.6,20.48,42.37,45.09,21.92,25.37,43.34,41.52,38.25,31.47,27.95,27.57,37.87,23.8,20.82,25.29,21.6,27.53,21.71,30.41,31.48,19.07,36.0,40.66,32.31,19.85,19.39,38.91,28.62,41.68,24.77,22.55,33.25,30.97,16.16,24.5,23.8,29.71,46.99,57.54,27.53,17.54,24.37,20.69,22.9,18.81,32.93
